##data,format,,,,,
##objectcode,blockX,blockY,functionParameter(0[enter],1[interact],2[step],3[exit])
11,18,27,2[18/5/false/none],0[littleroot],,
11,19,27,2[19/5/false/none],0[littleroot],,
11,16,4,2[8/22/false/none],0[oldale],,
11,17,4,2[9/22/false/none],0[oldale],,
11,18,4,2[10/22/false/none],0[oldale],,
11,19,4,2[11/22/false/none],0[oldale],,
1,0,1,,,,
1,2,1,,,,
1,4,1,,,,
1,6,1,,,,
1,8,1,,,,
1,10,1,,,,
1,26,1,,,,
1,28,1,,,,
1,30,1,,,,
1,32,1,,,,
1,34,1,,,,
1,0,3,,,,
1,2,3,,,,
1,4,3,,,,
1,6,3,,,,
1,8,3,,,,
1,10,3,,,,
1,24,3,,,,
1,26,3,,,,
1,28,3,,,,
1,30,3,,,,
1,32,3,,,,
1,34,3,,,,
1,0,5,,,,
1,2,5,,,,
1,4,5,,,,
1,6,5,,,,
1,8,5,,,,
1,10,5,,,,
1,12,5,,,,
1,14,5,,,,
1,20,5,,,,
1,22,5,,,,
1,24,5,,,,
1,26,5,,,,
1,28,5,,,,
1,30,5,,,,
1,32,5,,,,
1,34,5,,,,
1,0,7,,,,
1,2,7,,,,
1,4,7,,,,
1,6,7,,,,
1,8,7,,,,
1,24,7,,,,
1,26,7,,,,
1,28,7,,,,
1,30,7,,,,
1,32,7,,,,
1,34,7,,,,
1,0,9,,,,
1,2,9,,,,
1,4,9,,,,
1,6,9,,,,
1,26,9,,,,
1,28,9,,,,
1,30,9,,,,
1,32,9,,,,
1,34,9,,,,
1,0,11,,,,
1,2,11,,,,
1,4,11,,,,
1,6,11,,,,
1,8,11,,,,
1,19,11,,,,
1,28,11,,,,
1,30,11,,,,
1,32,11,,,,
1,34,11,,,,
1,21,12,,,,
1,0,13,,,,
1,2,13,,,,
1,4,13,,,,
1,6,13,,,,
1,8,13,,,,
1,19,13,,,,
1,28,13,,,,
1,30,13,,,,
1,32,13,,,,
1,34,13,,,,
1,10,14,,,,
1,0,15,,,,
1,2,15,,,,
1,4,15,,,,
1,6,15,,,,
1,8,15,,,,
1,28,15,,,,
1,30,15,,,,
1,32,15,,,,
1,34,15,,,,
1,10,16,,,,
1,0,17,,,,
1,2,17,,,,
1,4,17,,,,
1,6,17,,,,
1,8,17,,,,
1,28,17,,,,
1,30,17,,,,
1,32,17,,,,
1,34,17,,,,
1,0,19,,,,
1,2,19,,,,
1,4,19,,,,
1,6,19,,,,
1,20,19,,,,
1,26,19,,,,
1,28,19,,,,
1,30,19,,,,
1,32,19,,,,
1,34,19,,,,
1,0,21,,,,
1,2,21,,,,
1,4,21,,,,
1,6,21,,,,
1,8,21,,,,
1,20,21,,,,
1,22,21,,,,
1,24,21,,,,
1,26,21,,,,
